Time,Temperature,On Time
28548,53,27,180.55
28575,53,26,180.55
28602,53,28,176.35
28628,53,27,176.35
28656,53,27,176.35
28683,53,28,176.35
28710,53,28,177.14
28737,53,27,177.14
28764,53,27,177.14
28791,53,28,177.14
28818,53,26,187.96
28846,53,27,187.96
28872,53,28,187.96
28900,53,27,187.96
28926,53,27,183.78
28953,53,28,183.78
28981,53,27,183.78
29007,53,28,183.78
29035,54,28,179.57
29062,54,28,179.57
29088,54,27,179.57
29116,54,28,179.57
29143,54,28,180.38
29170,54,27,180.38
29197,54,28,180.38
29223,54,25,180.38
29251,54,28,181.17
29278,54,28,181.17
29305,54,28,181.17
29332,54,28,181.17
29360,54,28,181.98
29386,54,28,181.98
29413,54,26,181.98
29441,54,28,181.98
29467,54,28,182.79
29494,54,28,182.79
29521,54,28,182.79
29548,54,28,182.79
29576,54,28,183.59
29602,54,28,183.59
29629,54,28,183.59
29657,54,28,183.59
29683,54,28,184.4
29711,54,28,184.4
29737,54,28,184.4
29765,54,28,184.4
29792,54,28,185.21
29818,54,28,185.21
29846,54,28,185.21
29873,54,29,185.21
29900,54,29,181.01
29927,54,28,181.01
29954,54,29,181.01
29981,54,29,181.01
30008,54,28,186.82
30035,55,28,186.82
30062,55,30,186.82
30089,55,28,186.82
30116,55,28,187.63
30143,55,30,187.63
30171,55,28,187.63
30197,55,28,187.63
30225,55,27,193.45
30252,55,28,193.45
30278,55,28,193.45
30306,55,28,193.45
30332,55,30,179.25
30359,55,28,179.25
30387,55,29,179.25
30413,55,27,179.25
30441,55,29,185.05
30468,55,28,185.05
30494,55,30,185.05
30522,55,29,185.05
30548,55,29,185.86
30576,55,30,185.86
30603,55,29,185.86
30630,55,29,185.86
30657,55,30,181.66
30684,55,30,181.66
30711,55,29,181.66
30738,55,29,181.66
30766,55,29,187.46
30792,55,29,187.46
30819,55,28,187.46
30846,55,29,187.46
30873,55,30,183.26
30901,55,29,183.26
30927,55,30,183.26
30954,55,30,183.26
30982,55,30,184.06
31008,55,31,184.06
31036,56,30,184.06
31063,56,30,184.06
31090,56,31,179.86
31117,56,30,179.86
31143,56,31,179.86
31171,56,31,179.86
31198,56,30,185.66
31224,56,28,185.66
31252,56,30,185.66
31279,56,30,185.66
31306,56,30,186.46
31333,56,31,186.46
31360,56,30,186.46
31387,56,30,186.46
31414,56,28,197.29
31441,56,31,197.29
31468,56,30,197.29
31496,56,31,197.29
31522,56,31,183.09
31549,56,31,183.09
31577,56,31,183.09
31603,56,32,183.09
31631,56,31,183.88
31657,56,31,183.88
31684,56,32,183.88
31712,56,31,183.88
31738,56,31,184.68
31766,56,32,184.68
